2020_rank,name,2020_net_worth,2020_age,2020_country,2020_source,2020_broad_source
81,stefan persson,13.5,72,sweden,h&m,fashion & retail
83,alisher usmanov,13.4,66,russia,steel,telecom
84,eric schmidt,13.2,64,united states,google,technology
85,gina rinehart,13.1,66,australia,mining,metals & mining
86,walter p.j. droege,13,67,germany,consulting,service
86,mikhail fridman,13,55,russia,oil,banking
86,michael hartono,13,80,indonesia,banking,tobacco
86,dietmar hopp & family,13,79,germany,software,technology
86,zhang zhidong,13,48,china,internet media,technology
91,hinduja brothers,12.9,,united kingdom,diversified,diversified
91,heinz hermann thiele & family,12.9,79,germany,brakes,construction & engineering
93,charlene de carvalho-heineken & family,12.8,65,netherlands,heineken,food & beverage
94,emmanuel besnier,12.7,49,france,cheese,food & beverage
95,andrey melnichenko,12.5,48,russia,coal,fertilizers
96,li shufu,12.4,56,china,automobiles,automotive
96,hasso plattner & family,12.4,76,germany,software,technology
98,liu yonghao & family,12.3,68,china,agribusiness,service
98,stefan quandt,12.3,53,germany,bmw,automotive
100,ken griffin,12.1,51,united states,hedge funds,finance & investments
101,david tepper,12,62,united states,hedge funds,finance & investments
101,wu yajun & family,12,56,china,real estate,real estate
103,kwong siu-hing,11.9,90,hong kong,real estate,real estate
103,shiv nadar,11.9,74,india,software services,technology
105,sun piaoyang,11.8,61,china,pharmaceuticals,healthcare
106,lui che woo & family,11.7,91,hong kong,casinos/hotels,gambling & casinos
106,ricardo salinas pliego & family,11.7,64,mexico,retail,media
108,li xiting,11.6,69,singapore,medical devices,healthcare
108,reinhold wuerth & family,11.6,84,germany,fasteners,manufacturing
110,john menard jr,11.5,80,united states,home improvement stores,
110,pang kang,11.5,64,china,soy sauce,food & beverage
110,peter woo,11.5,73,hong kong,real estate,real estate
113,roman abramovich,11.3,53,russia,steel,investments
113,udo & harald tschira,,11.3,germany,software,technology
115,mikhail prokhorov,11.2,54,russia,investments,finance & investments
115,xu hang,11.2,53,hong kong,medical devices,healthcare
117,pallonji mistry,11.1,90,ireland,construction,construction & engineering
118,philip anschutz,11,80,united states,investments,finance & investments
118,german larrea mota velasco & family,11,66,mexico,mining,metals & mining
118,pierre omidyar,11,52,united states,ebay,paypal
118,james ratcliffe,11,67,united kingdom,chemicals,manufacturing
118,zhang yong,11,49,singapore,restaurants,food & beverage
123,robert & philip ng,10.9,,singapore,real estate,real estate
124,iris fontbona & family,10.8,77,chile,mining,metals & mining
124,abigail johnson,10.8,58,united states,money management,finance & investments
124,donald newhouse,10.8,90,united states,media,media & entertainment
127,graeme hart,10.5,64,new zealand,investments,finance & investments
127,viktor vekselberg,10.5,62,russia,metals,energy
129,goh cheng liang,10.4,92,singapore,paints,manufacturing
129,uday kotak,10.4,61,india,banking,finance & investments
129,jorge paulo lemann & family,10.4,80,brazil,beer,food & beverage
132,jorn rausing,10.3,60,sweden,packaging,food & beverage
133,hank & doug meijer,10.2,,united states,supermarkets,fashion & retail
133,stefano pessina,10.2,78,italy,drugstores,fashion & retail
135,suleiman kerimov & family,10,54,russia,investments,finance & investments
135,stanley kroenke,10,72,united states,sports,real estate
135,joseph tsai,10,56,canada,e-commerce,technology
138,gordon moore,9.8,91,united states,intel,technology
139,jan koum,9.7,44,united states,whatsapp,technology
139,robin zeng,9.7,51,hong kong,batteries,energy
141,john fredriksen,9.6,75,cyprus,shipping,logistics
141,robert kuok,9.6,96,malaysia,palm oil,shipping
141,andreas struengmann & family,9.6,70,germany,pharmaceuticals,healthcare
141,thomas struengmann & family,9.6,70,germany,pharmaceuticals,healthcare
145,hui wing mau,9.5,69,hong kong,real estate,real estate
146,dustin moskovitz,9.3,35,united states,facebook,technology
147,lei jun,9.2,50,china,smartphones,technology
147,quek leng chan,9.2,78,malaysia,banking,property
147,sun hongbin,9.2,57,united states,real estate,real estate
150,finn rausing,9.1,65,sweden,packaging,food & beverage
150,kirsten rausing,9.1,67,sweden,packaging,food & beverage
150,charoen sirivadhanabhakdi,9.1,75,thailand,alcohol,real estate
153,stewart and lynda resnick,9,,united states,agriculture,water
153,luis carlos sarmiento,9,87,colombia,banking,finance & investments
155,gautam adani,8.9,57,india,commodities,ports
155,christy walton,8.9,71,united states,walmart,fashion & retail
157,sunil mittal & family,8.8,62,india,telecom,telecom
157,zhang bangxin,8.8,40,china,education,service
159,anthony pratt,8.7,59,australia,manufacturing,manufacturing
160,german khan,8.5,58,russia,oil,banking
161,eduardo saverin,8.4,38,brazil,facebook,technology
162,aliko dangote,8.3,62,nigeria,cement,sugar
162,george soros,8.3,89,united states,hedge funds,finance & investments
162,zong qinghou,8.3,74,china,beverages,food & beverage
165,richard qiangdong liu,8.2,46,china,e-commerce,technology
165,friedhelm loh,8.2,73,germany,manufacturing,manufacturing
165,lu zhongfang,8.2,77,china,education,automotive
165,cyrus poonawalla,8.2,78,india,vaccines,healthcare
169,ernesto bertarelli,8,54,switzerland,biotech,investments
169,mike cannon-brookes,8,40,australia,software,technology
169,carl cook,8,57,united states,medical devices,healthcare
169,scott farquhar,8,40,australia,software,technology
169,gong hongjia & family,8,55,hong kong,video surveillance,finance & investments
169,jerry jones,8,77,united states,dallas cowboys,sports
169,michael platt,8,52,united kingdom,hedge funds,finance & investments
169,anders holch povlsen,8,47,denmark,fashion retail,fashion & retail
169,eric wittouck,8,73,belgium,investments,finance & investments
169,xu shihui,8,62,china,snacks,beverages
179,andrew beal,7.9,67,united states,banks,real estate
179,ann walton kroenke,7.9,71,united states,walmart,fashion & retail
179,wang wenyin,7.9,52,china,mining,copper products
179,zhang fan,7.9,54,china,touch screens,technology
183,shahid khan,7.8,69,united states,auto parts,automotive
184,zhang jindong,7.7,57,china,appliance retailer,fashion & retail
185,kumar birla,7.6,52,india,commodities,diversified
185,chen bang,7.6,54,china,hospitals,healthcare
185,david geffen,7.6,77,united states,movies,record labels
185,jiang rensheng & family,7.6,66,china,vaccines,healthcare
185,jim kennedy,7.6,72,united states,media,automotive
185,blair parry-okeden,7.6,69,united states,media,automotive
185,stephen ross,7.6,79,united states,real estate,real estate
185,august von finck,7.6,90,germany,investments,finance & investments
193,david duffield,7.5,79,united states,business software,technology
193,thomas frist jr & family,7.5,81,united states,hospitals,
193,eyal ofer,7.5,69,israel,real estate,shipping
196,john grayken,7.4,63,ireland,private equity,finance & investments
196,niels peter louis-hansen,7.4,72,denmark,medical devices,healthcare
196,lakshmi mittal,7.4,69,india,steel,metals & mining
196,nicky oppenheimer & family,7.4,74,south africa,diamonds,metals & mining
200,john doerr,7.3,68,united states,venture capital,technology
200,michael kadoorie,7.3,78,hong kong,hotels,energy
200,viktor rashnikov,7.3,71,russia,steel,manufacturing
200,david shaw,7.3,69,united states,hedge funds,finance & investments
200,tse ping,7.3,68,china,pharmaceuticals,healthcare
205,iskander makhmudov,7.2,56,russia,mining,metals
206,patrick drahi,7.1,56,france,telecom,telecom
206,nancy walton laurie,7.1,68,united states,walmart,fashion & retail
208,robert pera,7,42,united states,wireless networking gear,technology
208,rodolphe saadé & family,7,50,france,shipping,logistics
208,galen weston & family,7,79,canada,retail,fashion & retail
211,cai kui,6.9,57,china,real estate,real estate
211,diane hendricks,6.9,73,united states,roofing,construction & engineering
211,robert kraft,6.9,78,united states,new england patriots,sports
211,ronald perelman,6.9,77,united states,leveraged buyouts,finance & investments
211,zhou qunfei & family,6.9,50,hong kong,smartphone screens,technology
216,eli broad,6.8,86,united states,investments,finance & investments
216,david reuben,6.8,81,united kingdom,investments,real estate
216,simon reuben,6.8,78,united kingdom,real estate,investments
216,j. christopher reyes,6.8,66,united states,food distribution,food & beverage
216,jude reyes,6.8,64,united states,food distribution,food & beverage
221,andrew forrest,6.7,58,australia,mining,metals & mining
221,ma jianrong & family,6.7,56,china,textiles,apparel
221,charles schwab,6.7,82,united states,discount brokerage,finance & investments
224,leon black,6.6,68,united states,private equity,finance & investments
224,francis choi,6.6,72,hong kong,real estate,real estate
224,dang yanbao,6.6,47,china,coal,metals & mining
224,israel englander,6.6,71,united states,hedge funds,finance & investments
224,massimiliana landini aleotti & family,6.6,77,italy,pharmaceuticals,healthcare
224,dmitry rybolovlev,6.6,53,russia,fertilizer,manufacturing
230,gianluigi & rafaela aponte,6.5,79,switzerland,shipping,logistics
230,daniel gilbert,6.5,58,united states,quicken loans,finance & investments
230,johann graf,6.5,73,austria,gambling,gambling & casinos
230,kei hoi pang,6.5,54,china,real estate,real estate
230,alexei kuzmichev,6.5,57,russia,oil,banking
230,tom & judy love,6.5,82,united states,retail & gas stations,fashion & retail
230,marcel herrmann telles,6.5,70,brazil,beer,food & beverage
237,alberto bailleres gonzalez & family,6.4,88,mexico,mining,metals & mining
237,ian & richard livingstone,6.4,,united kingdom,real estate,real estate
237,patrick soon-shiong,6.4,67,united states,pharmaceuticals,healthcare
237,wang xing,6.4,41,china,e-commerce,technology
241,leonid fedun & family,6.3,64,russia,oil,energy
241,david green & family,6.3,78,united states,retail,fashion & retail
241,kim jung-ju,6.3,52,south korea,online games,technology
241,sarath ratanavadi,6.3,54,thailand,energy,energy
241,georg schaeffler,6.3,55,germany,auto parts,automotive
241,andrei skoch & family,6.3,54,russia,steel,metals & mining
241,harry triguboff,6.3,87,australia,real estate,real estate
248,marijke mars,6.2,55,united states,candy,pet food
248,pamela mars,6.2,59,united states,candy,pet food
248,valerie mars,6.2,61,united states,candy,pet food
248,victoria mars,6.2,63,united states,candy,pet food
248,stef wertheimer & family,6.2,93,israel,metalworking tools,manufacturing
253,cen junda,6.1,55,china,pharmaceuticals,healthcare
253,james goodnight,6.1,77,united states,software,technology
253,kjeld kirk kristiansen,6.1,72,denmark,lego,manufacturing
253,sofie kirk kristiansen,6.1,44,denmark,lego,manufacturing
253,thomas kirk kristiansen,6.1,41,denmark,lego,manufacturing
253,liang wengen,6.1,63,china,construction equipment,manufacturing
253,xavier niel,6.1,52,france,internet,telecom
253,john overdeck,6.1,50,united states,hedge funds,finance & investments
253,azim premji,6.1,74,india,software services,technology
253,seo jung-jin,6.1,62,south korea,biotech,healthcare
253,dilip shanghvi,6.1,64,india,pharmaceuticals,healthcare
253,david siegel,6.1,58,united states,hedge funds,finance & investments
253,agnete kirk thinggaard,6.1,36,denmark,lego,manufacturing
266,fan hongwei & family,6,53,china,petrochemicals,energy
266,yu renrong,6,54,china,semiconductors,manufacturing
268,benu gopal bangur,5.9,88,india,cement,manufacturing
268,james dyson,5.9,72,united kingdom,vacuums,manufacturing
268,herbert kohler jr & family,5.9,81,united states,plumbing fixtures,
268,leng youbin,5.9,51,china,infant formula,food & beverage
268,liu yongxing,5.9,71,china,diversified,service
268,alain merieux & family,5.9,82,france,pharmaceuticals,healthcare
274,marc benioff,5.8,55,united states,business software,technology
274,chan laiwa & family,5.8,79,china,real estate,real estate
274,john malone,5.8,79,united states,cable television,media & entertainment
274,frederik paulsen,5.8,69,sweden,health care,healthcare
274,steven rales,5.8,69,united states,manufacturing,manufacturing
274,yao zhenhua & family,5.8,50,china,conglomerate,diversified
280,tom gores,5.7,55,united states,private equity,finance & investments
280,ralph lauren,5.7,80,united states,apparel,fashion & retail
280,ruan liping,5.7,56,hong kong,power strips,manufacturing
280,ruan xueping,5.7,48,hong kong,power strip,manufacturing
280,andreas von bechtolsheim & family,5.7,64,germany,google,technology
280,wang wenjing,5.7,55,china,business software,technology
286,mike adenuga,5.6,66,nigeria,telecom,oil
286,maria asuncion aramburuzabala & family,5.6,56,mexico,beer,investments
286,george kaiser,5.6,77,united states,oil & gas,banking
286,law kar po,5.6,71,hong kong,real estate,real estate
286,pham nhat vuong,5.6,51,vietnam,diversified,diversified
286,melker schorling & family,5.6,72,sweden,investments,finance & investments
286,manuel villar,5.6,70,philippines,real estate,real estate
293,alexander abramov,5.5,61,russia,steel,mining
293,antonia ax:son johnson & family,5.5,76,sweden,diversified,diversified
293,david cheriton,5.5,69,canada,google,technology
293,terry gou,5.5,69,taiwan,electronics,technology
293,wolfgang marguerre & family,5.5,78,germany,pharmaceuticals,healthcare
293,robert miller,5.5,86,united kingdom,retail,fashion & retail
293,sandra ortega mera,5.5,51,spain,zara,fashion & retail
293,tang shing-bor,5.5,86,hong kong,real estate,real estate
293,dennis washington,5.5,85,united states,construction,mining
293,hansjoerg wyss,5.5,85,switzerland,medical devices,healthcare
293,eric yuan & family,5.5,50,united states,video conferencing,technology
304,giorgio armani,5.4,85,italy,luxury goods,fashion & retail
304,charles ergen,5.4,67,united states,satellite tv,media & entertainment
304,edward johnson iii.,5.4,89,united states,money management,finance & investments
304,zeng fangqin,5.4,54,china,smartphone components,technology
308,silvio berlusconi & family,5.3,83,italy,media,diversified
308,laurence graff & family,5.3,81,united kingdom,diamond jewelry,fashion & retail
308,bruce kovner,5.3,75,united states,hedge funds,finance & investments
308,lai meisong,5.3,49,china,package delivery,logistics
308,george roberts,5.3,76,united states,private equity,finance & investments
308,reinhold schmieding,5.3,65,united states,medical devices,healthcare
308,tsai eng-meng,5.3,63,taiwan,food,beverages
315,clive calder,5.2,73,united kingdom,record label,media & entertainment
315,richard kinder,5.2,75,united states,pipelines,energy
315,henry kravis,5.2,76,united states,private equity,finance & investments
315,lin li,5.2,56,china,investments,finance & investments
315,takahisa takahara,5.2,58,japan,personal care goods,fashion & retail
320,micky arison,5.1,70,united states,carnival cruises,service
320,james chambers,5.1,62,united states,media,automotive
320,kuldip singh & gurbachan singh dhingra,5.1,,india,paints,manufacturing
320,du weimin,5.1,56,china,vaccines,healthcare
320,huang chulong,5.1,61,canada,real estate,real estate
320,paul tudor jones ii.,5.1,65,united states,hedge funds,
320,katharine rayner,5.1,75,united states,media,automotive
320,margaretta taylor,5.1,77,united states,media,automotive
320,nusli wadia,5.1,76,india,consumer goods,food & beverage
320,wang laichun,5.1,52,china,electronics components,technology
330,christopher hohn,5,53,united kingdom,hedge funds,finance & investments
330,bertil hult,5,79,sweden,education,service
330,kwee brothers,5,,singapore,real estate,real estate
330,jay y. lee,5,51,south korea,samsung,diversified
330,li ge,5,53,united states,biotech,healthcare
330,magdalena martullo-blocher,5,51,switzerland,chemicals,manufacturing
330,alexander otto,5,52,germany,real estate,real estate
330,terrence pegula,5,69,united states,natural gas,energy
330,nassef sawiris,5,59,egypt,construction,chemicals
330,robert f. smith,5,57,united states,private equity,finance & investments
330,wang laisheng,5,55,china,electronics components,technology
330,wee cho yaw,5,91,singapore,banking,finance & investments
330,daniel ziff,5,48,united states,investments,finance & investments
330,dirk ziff,5,56,united states,investments,finance & investments
330,robert ziff,5,53,united states,investments,finance & investments
345,rahel blocher,4.9,44,switzerland,chemicals,manufacturing
345,robin li,4.9,51,china,internet search,technology
345,karen pritzker,4.9,62,united states,hotels,investments
345,mark scheinberg,4.9,46,canada,online gambling,gambling & casinos
349,chen dongsheng,4.8,62,china,insurance,finance & investments
349,andreas halvorsen,4.8,58,norway,hedge funds,finance & investments
349,michael herz,4.8,76,germany,coffee,fashion & retail
349,wolfgang herz,4.8,69,germany,coffee,fashion & retail
349,bidzina ivanishvili,4.8,64,georgia,investments,finance & investments
349,savitri jindal & family,4.8,70,india,steel,metals & mining
349,pauline macmillan keinath,4.8,86,united states,cargill,food & beverage
349,andrei kozitsyn,4.8,59,russia,metals,metals & mining
349,frank lowy,4.8,89,australia,shopping malls,real estate
349,carlos alberto sicupira & family,4.8,72,brazil,beer,food & beverage
349,frank wang,4.8,39,china,drones,technology
349,sam zell,4.8,78,united states,real estate,private equity
361,rene benko,4.7,43,austria,real estate,retail
361,laurent dassault,4.7,66,france,diversified,diversified
361,olivier dassault,4.7,68,france,diversified,diversified
361,thierry dassault,4.7,63,france,diversified,diversified
361,jim davis & family,4.7,76,united states,new balance,manufacturing
361,stanley druckenmiller,4.7,66,united states,hedge funds,finance & investments
361,marie-hélène habert,4.7,55,france,diversified,diversified
361,jensen huang,4.7,57,united states,semiconductors,technology
361,ananda krishnan,4.7,82,malaysia,telecoms,media
361,fredrik lundberg,4.7,68,sweden,real estate,investments
361,wolfgang reimann,4.7,67,germany,consumer goods,fashion & retail
361,matthias reimann-andersen,4.7,55,germany,consumer goods,fashion & retail
361,stefan reimann-andersen,4.7,56,germany,consumer goods,fashion & retail
361,renate reimann-haas,4.7,68,germany,consumer goods,fashion & retail
375,pyotr aven,4.6,65,russia,oil,banking
375,arthur blank,4.6,77,united states,home depot,sports
375,charles dolan & family,4.6,93,united states,cable television,media & entertainment
375,joe lewis,4.6,83,united kingdom,investments,finance & investments
375,george lucas,4.6,75,united states,star wars,media & entertainment
375,bernard marcus,4.6,90,united states,home depot,fashion & retail
401,marie besnier beauvalot,4.4,39,france,cheese,food & beverage
401,guo guangchang,4.4,53,china,conglomerate,diversified
401,antti herlin,4.4,63,finland,elevators,escalators
401,ray lee hunt,4.4,77,united states,oil,real estate
401,martha ingram & family,4.4,84,united states,book distribution,transportation
401,marc ladreit de lacharriere,4.4,79,france,finance,finance & investments
401,richard li,4.4,53,hong kong,telecom,telecom
401,robert rich jr,4.4,79,united states,frozen foods,
401,julian robertson jr,4.4,87,united states,hedge funds,
401,walter scott jr & family,4.4,88,united states,utilities,
401,georg stumpf,4.4,47,austria,real estate,construction
401,wang chuanfu,4.4,54,china,batteries,automobiles
414,jeronimo arango & family,4.3,94,mexico,retail,fashion & retail
414,juan francisco beckmann vidal & family,4.3,80,mexico,tequila,food & beverage
414,alexandre behring,4.3,53,brazil,investments,finance & investments
414,dona bertarelli,4.3,52,switzerland,biotech,diversified
414,mark cuban,4.3,61,united states,online media,media & entertainment
414,tilman fertitta,4.3,62,united states,houston rockets,entertainment
414,sri prakash lohia,4.3,67,indonesia,petrochemicals,manufacturing
414,jim pattison,4.3,91,canada,diversified,diversified
414,john a. sobrato & family,4.3,80,united states,real estate,real estate
414,ronda stryker,4.3,65,united states,medical equipment,healthcare
414,murat ulker,4.3,61,turkey,food,food & beverage
414,zhou hongyi,4.3,49,china,security software,technology
426,bajaj brothers,4.2,,india,diversified,diversified
426,stephen bisciotti,4.2,59,united states,staffing,baltimore ravens
426,ashwin dani,4.2,77,india,paints,manufacturing
426,charles b. johnson,4.2,87,united states,money management,finance & investments
426,theo mueller,4.2,80,germany,dairy,food & beverage
426,john paulson,4.2,64,united states,hedge funds,finance & investments
426,issad rebrab & family,4.2,76,algeria,food,food & beverage
426,sheldon solow,4.2,91,united states,real estate,real estate
426,david sun,4.2,68,united states,computer hardware,technology
426,john tu,4.2,78,united states,computer hardware,technology
426,wei jianjun & family,4.2,56,china,automobiles,automotive
437,nathan blecharczyk,4.1,36,united states,airbnb,technology
437,neal blue & family,4.1,85,united states,defense,manufacturing
437,chen lip keong,4.1,72,malaysia,casinos,property
437,brian chesky,4.1,38,united states,airbnb,technology
437,guenther fielmann & family,4.1,80,germany,optometry,healthcare
437,joe gebbia,4.1,38,united states,airbnb,technology
437,andrei guriev & family,4.1,60,russia,fertilizers,manufacturing
437,axel oberwelland,4.1,53,germany,candy,food & beverage
437,pan sutong,4.1,57,hong kong,real estate,finance
437,augusto & giorgio perfetti,4.1,,italy,candy,food & beverage
437,odd reitan,4.1,68,norway,retail,real estate
437,tahir & family,4.1,68,indonesia,diversified,diversified
437,wang wenxue,4.1,52,china,real estate,real estate
437,yeung kin-man,4.1,56,hong kong,electronics,manufacturing
451,margot birmingham perot,4,86,united states,computer services,real estate
451,jack dangermond,4,74,united states,mapping software,technology
451,traudl engelhorn & family,4,93,germany,pharmaceuticals,medical equipment
451,joshua harris,4,55,united states,private equity,finance & investments
451,viatcheslav kantor,4,66,russia,fertilizer,real estate
451,ronald lauder,4,76,united states,estee lauder,fashion & retail
451,janice mcnair,4,83,united states,energy,sports
451,sami mnaymneh,4,58,united states,private equity,finance & investments
451,yasumitsu shigeta & family,4,55,japan,mobile phone retailer,telecom
451,jerry speyer,4,79,united states,real estate,real estate
451,tony tamer,4,62,united states,private equity,finance & investments
451,radovan vitek,4,48,czechia,real estate,real estate
451,wang linpeng,4,51,china,furniture retailing,construction & engineering
451,russ weiner,4,49,united states,energy drinks,food & beverage
451,les wexner & family,4,82,united states,retail,fashion & retail
451,yao liangsong,4,55,china,furniture,manufacturing
451,zhu baoguo & family,4,57,china,pharmaceuticals,healthcare
468,an kang,3.9,71,china,pharmaceuticals,healthcare
468,ding shijia,3.9,56,china,sports apparel,fashion & retail
468,ding shizhong & family,3.9,49,china,sports apparel,fashion & retail
468,gustaf douglas,3.9,82,sweden,investments,diversified
468,ken fisher,3.9,69,united states,money management,finance & investments
468,barry lam,3.9,70,taiwan,electronics,technology
468,lam wai ying,3.9,,hong kong,smartphone screens,manufacturing
468,margarita louis-dreyfus & family,3.9,57,switzerland,commodities,food & beverage
468,igor olenicoff,3.9,77,united states,real estate,real estate
468,isaac perlmutter,3.9,77,united states,marvel comics,media & entertainment
468,qi shi & family,3.9,50,china,financial information,technology
468,carlos rodriguez-pastor,3.9,60,peru,finance,finance & investments
468,juan roig,3.9,70,spain,supermarkets,fashion & retail
468,steven udvar-hazy,3.9,74,united states,aircraft leasing,service
468,wang yusuo & family,3.9,56,china,natural gas distribution,energy
468,zhao yan,3.9,53,china,real estate,finance
484,maria fernanda amorim & family,3.8,85,portugal,energy,investments
484,rahul bajaj,3.8,81,india,diversified,diversified
484,cheng xue,3.8,50,china,soy sauce,food & beverage
484,marian ilitch,3.8,87,united states,little caesars,food & beverage
484,mary alice dorrance malone,3.8,70,united states,campbell soup,food & beverage
484,yuri milner,3.8,58,israel,tech investments,finance & investments
484,emanuele (lino) saputo & family,3.8,83,canada,cheese,food & beverage
484,shaul shani,3.8,65,israel,telecom,telecom
484,harry stine,3.8,78,united states,agriculture,food & beverage
484,jeff sutton,3.8,60,united states,real estate,real estate
494,abdulla bin ahmad al ghurair & family,3.7,,united arab emirates,diversified,diversified
494,david & frederick barclay,3.7,86,united kingdom,media,retail
494,neil bluhm,3.7,82,united states,real estate,real estate
494,david bonderman,3.7,77,united states,private equity,finance & investments
494,jean-pierre cayard,3.7,77,france,spirits,food & beverage
494,andrew currie,3.7,64,united kingdom,chemicals,manufacturing
494,jeff greene,3.7,65,united states,real estate,investments
494,reed hastings,3.7,59,united states,netflix,media & entertainment
494,vladimir kim,3.7,59,kazakhstan,mining,metals & mining
494,ted lerner & family,3.7,94,united states,real estate,real estate
494,li wa,3.7,54,hong kong,real estate,real estate
494,michael milken,3.7,73,united states,investments,finance & investments
494,akio nitori,3.7,76,japan,home furnishings,fashion & retail
494,idan ofer,3.7,64,israel,drilling,shipping
494,mitchell rales,3.7,63,united states,manufacturing,investments
494,john reece,3.7,63,united kingdom,chemicals,manufacturing
494,trevor rees-jones,3.7,68,united states,oil & gas,energy
494,kushal pal singh,3.7,88,india,real estate,real estate
494,michal solowow,3.7,57,poland,investments,finance & investments
494,aiyawatt srivaddhanaprabha & family,3.7,34,thailand,duty-free,fashion & retail
514,dannine avara,3.6,56,united states,pipelines,energy
514,dagmar dolby & family,3.6,78,united states,dolby laboratories,technology
514,scott duncan,3.6,37,united states,pipelines,energy
514,milane frantz,3.6,50,united states,pipelines,energy
514,frits goldschmeding,3.6,86,netherlands,temp agency,service
514,luciano hang,3.6,57,brazil,department stores,fashion & retail
514,hedda im brahm-droege,3.6,65,germany,consulting,service
514,sumet jiaravanon,3.6,85,thailand,diversified,diversified
514,samuel tak lee,3.6,80,hong kong,real estate,real estate
