Rank,Name,Net Worth (billions of dollars),Age,Source,Country,real source,some wealth inheritance,major wealth inheritance
#46,Susanne Klatten,21,57,"BMW, pharmaceuticals",Germany,,,
#47,Vagit Alekperov,20.7,68,oil,Russia,,,
#48,Alexey Mordashov,20.5,53,"steel, investments",Russia,,,
#49,Gennady Timchenko,20.1,66,"oil, gas",Russia,,,
#50,Leonardo Del Vecchio,19.8,84,eyeglasses,Italy,,,
#50,He Xiangjian,19.8,76,home appliances,China,,,
#52,Rupert Murdoch,19.4,88,"newspapers, TV network",United States,,,
#53,Dietrich Mateschitz,18.9,75,Red Bull,Austria,,,
#54,R. Budi Hartono,18.6,78,"banking, tobacco",Indonesia,,,
#54,Laurene Powell Jobs,18.6,55,"Apple, Disney",United States,,,
#56,Michael Hartono,18.5,79,"banking, tobacco",Indonesia,,,
#57,Ray Dalio,18.4,69,hedge funds,United States,,,
#58,Vladimir Potanin,18.1,58,metals,Russia,,,
#59,Len Blavatnik,17.7,62,diversified,United States,,,
#60,Stefan Quandt,17.5,53,BMW,Germany,,,
#61,"Theo Albrecht, Jr.",17.4,68,"Aldi, Trader Joe's",Germany,,,
#61,Carl Icahn,17.4,83,investments,United States,,,
#63,Lee Man Tat,17.1,89,"Oyster sauce, real estate",Hong Kong,,,
#63,Thomas Peterffy,17.1,74,discount brokerage,United States,,,
#65,Hinduja brothers,16.9,-,diversified,United Kingdom,,,
#65,Joseph Lau,16.9,67,real estate,Hong Kong,,,
#65,Lee Kun-hee,16.9,77,Samsung,South Korea,,,
#68,Donald Bren,16.4,87,real estate,United States,,,
#69,Takemitsu Takizaki,16.3,74,sensors,Japan,,,
#70,Zhang Yiming,16.2,35,software,China,,,
#71,Abigail Johnson,15.6,57,money management,United States,,,
#71,Stefan Persson,15.6,71,H&M,Sweden,,,
#73,Petr Kellner,15.5,55,"finance, telecommunications",Czech Republic,,,
#74,Iris Fontbona,15.4,76,mining,Chile,,,
#75,Dhanin Chearavanont,15.2,80,diversified,Thailand,,,
#75,Gina Rinehart,15.2,65,mining,Australia,,,
#75,Lukas Walton,15.2,32,Walmart,United States,,,
#78,Kwong Siu-hing,15.1,89,real estate,Hong Kong,,,
#79,Mikhail Fridman,15,55,"oil, banking, telecom",Russia,,,
#79,Pallonji Mistry,15,90,construction,Ireland,,,
#81,William Ding,14.7,47,online games,China,,,
#82,Leonard Lauder,14.6,82,Estee Lauder,United States,,,
#82,Lui Che Woo,14.6,90,casinos/hotels,Hong Kong,,,
#82,Shiv Nadar,14.6,74,software services,India,,,
#82,Alain Wertheimer,14.6,70,Chanel,France,,,
#82,Gerard Wertheimer,14.6,68,Chanel,France,,,
#87,Charoen Sirivadhanabhakdi,14.5,75,"alcohol, real estate",Thailand,,,
#88,Emmanuel Besnier,14.3,48,cheese,France,,,
#89,Charlene de Carvalho-Heineken,14.2,65,Heineken,Netherlands,,,
#90,Andrey Melnichenko,13.8,47,"coal, fertilizers",Russia,,,
#91,Li Shufu,13.6,56,automobiles,China,,,
#91,Lakshmi Mittal,13.6,69,steel,India,,,
#91,Heinz Hermann Thiele,13.6,78,brakes,Germany,,,
#94,Colin Huang,13.5,39,e-commerce,China,,,
#94,Hasso Plattner,13.5,75,software,Germany,,,
#96,Dietmar Hopp,13.4,79,software,Germany,,,
#96,Georg Schaeffler,13.4,54,auto parts,Germany,,,
#98,German Larrea Mota Velasco,13.3,65,mining,Mexico,,,
#98,Zhang Zhidong,13.3,47,internet media,China,,,
#100,Stephen Schwarzman,13.2,72,investments,United States,,,
#101,Steve Cohen,12.9,63,hedge funds,United States,,,
#101,Klaus-Michael Kuehne,12.9,82,shipping,Germany,,,
#101,Eric Schmidt,12.9,64,Google,United States,,,
#104,Robert Kuok,12.8,95,"palm oil, shipping, property",Malaysia,,,
#105,Harold Hamm,12.7,73,oil & gas,United States,,,
#106,Alisher Usmanov,12.6,65,"steel, telecom, investments",Russia,,,
#107,Roman Abramovich,12.4,52,"steel, investments",Russia,,,
#107,"Thomas Frist, Jr.",12.4,80,hospitals,United States,,,
#107,Stefano Pessina,12.4,78,drugstores,Italy,,,
#110,James Ratcliffe,12.1,66,chemicals,United Kingdom,,,
#110,Wang Wei,12.1,49,package delivery,China,,,
#112,Robert & Philip Ng,12,-,real estate,Singapore,,,
#112,Hans Rausing,12,93,packaging,Sweden,,,
#114,David Duffield,11.8,78,business software,United States,,,
#114,Uday Kotak,11.8,60,banking,India,,,
#114,Donald Newhouse,11.8,89,media,United States,,,
#117,Ken Griffin,11.7,50,hedge funds,United States,,,
#118,David Tepper,11.6,61,hedge funds,United States,,,
#119,Viktor Vekselberg,11.5,62,"metals, energy",Russia,,,
#120,Pierre Omidyar,11.4,52,"eBay, PayPal",United States,,,
#121,Reinhold Wuerth,11.2,84,fasteners,Germany,,,
#122,Kumar Birla,11.1,52,commodities,India,,,
#122,Radhakishan Damani,11.1,64,"investments, retail",India,,,
#122,Dustin Moskovitz,11.1,35,Facebook,United States,,,
#122,Ricardo Salinas Pliego,11.1,63,"retail, media",Mexico,,,
#122,Udo & Harald Tschira,11.1,-,software,Germany,,,
#127,Wang Wenyin,11,51,"mining, copper products",China,,,
#128,Philip Anschutz,10.9,79,investments,United States,,,
#129,John Fredriksen,10.8,74,shipping,Cyprus,,,
#129,Luis Carlos Sarmiento,10.8,86,banking,Colombia,,,
#129,Peter Woo,10.8,72,real estate,Hong Kong,,,
#132,Alexander Otto,10.7,52,real estate,Germany,,,
#133,Gianluigi & Rafaela Aponte,10.5,79,Shipping,Switzerland,,,
#133,"John Menard, Jr.",10.5,79,home improvement stores,United States,,,
#133,Rodolphe Saadé,10.5,49,shipping,France,,,
#136,Aliko Dangote,10.4,62,"cement, sugar, flour",Nigeria,,,
#137,Walter P.J. Droege,10.2,66,consulting,Germany,,,
#138,Marcel Herrmann Telles,9.9,69,beer,Brazil,,,
#139,Mikhail Prokhorov,9.8,54,investments,Russia,,,
#140,German Khan,9.7,57,"oil, banking, telecom",Russia,,,
#140,Gordon Moore,9.7,90,Intel,United States,,,
#140,Eduardo Saverin,9.7,37,Facebook,Brazil,,,
#143,Charles Ergen,9.6,66,satellite TV,United States,,,
#143,Jan Koum,9.6,43,WhatsApp,United States,,,
#143,Lei Jun,9.6,49,smartphones,China,,,
#143,Robin Li,9.6,50,internet search,China,,,
#147,Cyrus Poonawalla,9.5,78,vaccines,India,,,
#147,Joseph Tsai,9.5,55,e-commerce,Canada,,,
#149,Eyal Ofer,9.4,69,"real estate, shipping",Israel,,,
#149,Ronald Perelman,9.4,76,leveraged buyouts,United States,,,
#149,Quek Leng Chan,9.4,77,"banking, property",Malaysia,,,
#149,Wu Yajun,9.4,55,real estate,China,,,
#153,Jim Kennedy,9.3,71,"media, automotive",United States,,,
#153,Blair Parry-Okeden,9.3,69,"media, automotive",United States,,,
#153,Xu Shihui,9.3,61,"snacks, beverages",China,,,
#156,Mike Adenuga,9.2,66,"telecom, oil",Nigeria,,,
#156,Harry Triguboff,9.2,86,real estate,Australia,,,
#158,Andrew Beal,9.1,66,"banks, real estate",United States,,,
#158,Graeme Hart,9.1,64,investments,New Zealand,,,
#160,Hui Wing Mau,9,69,real estate,Hong Kong,,,
#160,Sun Hongbin,9,56,real estate,United States,,,
#162,Micky Arison,8.9,70,Carnival Cruises,United States,,,
#162,James Goodnight,8.9,76,software,United States,,,
#162,Pang Kang,8.9,63,soy sauce maker,China,,,
#162,Viktor Rashnikov,8.9,70,steel,Russia,,,
#162,Carlos Alberto Sicupira,8.9,71,beer,Brazil,,,
#167,Gautam Adani,8.7,57,"commodities, ports",India,,,
#167,Leonid Fedun,8.7,63,oil,Russia,,,
#167,Stanley Kroenke,8.7,71,"sports, real estate",United States,,,
#167,Jorn Rausing,8.7,59,packaging,Sweden,,,
#171,Gong Hongjia,8.6,54,video surveillance,Hong Kong,,,
#171,Michael Kadoorie,8.6,78,"hotels, energy",Hong Kong,,,
#173,Giorgio Armani,8.5,85,luxury goods,Italy,,,
#174,Sun Piaoyang,8.4,60,pharmaceuticals,China,,,
#174,August von Finck,8.4,89,investments,Germany,,,
#174,Galen Weston,8.4,78,retail,Canada,,,
#174,Zong Qinghou,8.4,73,beverages,China,,,
#178,Carl Cook,8.3,56,medical devices,United States,,,
#178,Charles Schwab,8.3,81,discount brokerage,United States,,,
#178,George Soros,8.3,88,hedge funds,United States,,,
#181,Johann Graf,8.1,72,gambling,Austria,,,
#181,Seo Jung-jin,8.1,61,biotech,South Korea,,,
#183,Ernesto Bertarelli,8,53,"biotech, investments",Switzerland,,,
#183,Michael Platt,8,51,hedge funds,United Kingdom,,,
#185,Finn Rausing,7.9,64,packaging,Sweden,,,
#185,Kirsten Rausing,7.9,67,packaging,Sweden,,,
#187,David Geffen,7.8,76,"movies, record labels",United States,,,
#187,"Edward Johnson, III.",7.8,89,money management,United States,,,
#187,Ma Jianrong,7.8,55,"textiles, apparel",China,,,
#190,Patrick Drahi,7.7,55,telecom,France,,,
#191,George Kaiser,7.6,76,"oil & gas, banking",United States,,,
#191,Stephen Ross,7.6,79,real estate,United States,,,
#191,Dilip Shanghvi,7.6,63,pharmaceuticals,India,,,
#191,Eric Wittouck,7.6,72,Investments,Belgium,,,
#195,Alexei Kuzmichev,7.5,56,"oil, banking, telecom",Russia,,,
#195,David Reuben,7.5,80,"investments, real estate",United Kingdom,,,
#195,Simon Reuben,7.5,78,"real estate, investments",United Kingdom,,,
#198,Alberto Bailleres Gonzalez,7.4,87,mining,Mexico,,,
#198,Massimiliana Landini Aleotti,7.4,76,pharmaceuticals,Italy,,,
#200,"Herbert Kohler, Jr.",7.3,80,plumbing fixtures,United States,,,
#200,Sri Prakash Lohia,7.3,66,petrochemicals,Indonesia,,,
#200,Nicky Oppenheimer,7.3,74,diamonds,South Africa,,,
#203,Goh Cheng Liang,7.2,92,paints,Singapore,,,
#203,John Malone,7.2,78,cable television,United States,,,
#203,Christy Walton,7.2,70,Walmart,United States,,,
#203,Yao Zhenhua,7.2,49,conglomerate,China,,,
#207,Frederik Paulsen,7.1,68,health care,Sweden,,,
#207,Anthony Pratt,7.1,59,manufacturing,Australia,,,
#209,David Green,7,77,retail,United States,,,
#209,James Irving,7,91,diversified,Canada,,,
#209,Tom & Judy Love,7,82,retail & gas stations,United States,,,
#209,David Shaw,7,68,hedge funds,United States,,,
#209,Patrick Soon-Shiong,7,66,pharmaceuticals,United States,,,
#209,Nusli Wadia,7,75,consumer goods,India,,,
#215,Mike Cannon-Brookes,6.9,39,software,Australia,,,
#215,John Doerr,6.9,68,venture capital,United States,,,
#215,Scott Farquhar,6.9,39,software,Australia,,,
#215,John Grayken,6.9,63,private equity,Ireland,,,
#215,Pauline MacMillan Keinath,6.9,85,Cargill,United States,,,
#215,Ralph Lauren,6.9,79,Ralph Lauren,United States,,,
#215,Jay Y. Lee,6.9,51,Samsung,South Korea,,,
#215,Michael Otto,6.9,76,"retail, real estate",Germany,,,
#215,Robert Pera,6.9,41,wireless networking gear,United States,,,
#224,Jerry Jones,6.8,76,Dallas Cowboys,United States,,,
#224,Shahid Khan,6.8,69,auto parts,United States,,,
#224,Friedhelm Loh,6.8,72,manufacturing,Germany,,,
#224,Hank & Doug Meijer,6.8,-,supermarkets,United States,,,
#224,Dmitry Rybolovlev,6.8,52,fertilizer,Russia,,,
#224,Melker Schorling,6.8,72,investments,Sweden,,,
#224,Robin Zeng,6.8,50,batteries,Hong Kong,,,
#224,Zhang Jindong,6.8,56,appliance retailer,China,,,
#224,Zhang Yong,6.8,49,restaurants,Singapore,,,
#233,Eli Broad,6.7,86,investments,United States,,,
#233,Francis Choi,6.7,71,real estate,Hong Kong,,,
#233,Daniel Gilbert,6.7,57,Quicken Loans,United States,,,
#233,Eva Gonda de Rivera,6.7,-,beverages,Mexico,,,
#233,Guo Guangchang,6.7,52,conglomerate,China,,,
#233,Teh Hong Piow,6.7,89,banking,Malaysia,,,
#239,Marc Benioff,6.6,54,business software,United States,,,
#239,Kei Hoi Pang,6.6,53,real estate,China,,,
#239,Richard Kinder,6.6,74,pipelines,United States,,,
#239,Iskander Makhmudov,6.6,55,"mining, metals, machinery",Russia,,,
#239,Pham Nhat Vuong,6.6,50,diversified,Vietnam,,,
#244,Denise Coates,6.5,51,online gambling,United Kingdom,,,
#244,Kim Jung-ju,6.5,51,online games,South Korea,,,
#244,Robert Kraft,6.5,78,New England Patriots,United States,,,
#244,Ann Walton Kroenke,6.5,70,Walmart,United States,,,
#244,Frank Lowy,6.5,88,shopping malls,Australia,,,
#244,Sunil Mittal,6.5,61,telecom,India,,,
#244,Augusto & Giorgio Perfetti,6.5,-,candy,Italy,,,
#244,John A. Sobrato,6.5,80,real estate,United States,,,
#252,Leon Black,6.4,67,private equity,United States,,,
#252,Israel Englander,6.4,70,hedge funds,United States,,,
#252,Anders Holch Povlsen,6.4,46,fashion retail,Denmark,,,
#252,Nassef Sawiris,6.4,58,"construction, chemicals",Egypt,,,
#252,Andreas von Bechtolsheim,6.4,63,Google,Germany,,,
#257,Silvio Berlusconi,6.3,82,media,Italy,,,
#257,Terry Gou,6.3,68,electronics,Taiwan,,,
#257,Diane Hendricks,6.3,72,roofing,United States,,,
#257,Suleiman Kerimov,6.3,53,investments,Russia,,,
#261,Alexander Abramov,6.2,60,"steel, mining",Russia,,,
#261,James Chambers,6.2,62,"media, automotive",United States,,,
#261,Ananda Krishnan,6.2,81,"telecoms, media, oil-services",Malaysia,,,
#261,Ian & Richard Livingstone,6.2,-,real estate,United Kingdom,,,
#261,Katharine Rayner,6.2,74,"media, automotive",United States,,,
#261,Margaretta Taylor,6.2,77,"media, automotive",United States,,,
#267,Sandra Ortega Mera,6.1,51,Zara,Spain,,,
#267,John Overdeck,6.1,49,hedge funds,United States,,,
#267,Odd Reitan,6.1,67,"retail, real estate",Norway,,,
#267,David Siegel,6.1,58,hedge funds,United States,,,
#267,Wee Cho Yaw,6.1,90,banking,Singapore,,,
#272,Rinat Akhmetov,6,52,"steel, coal",Ukraine,,,
#272,Bubba Cathy,6,65,Chick-fil-A,United States,,,
#272,Dan Cathy,6,66,Chick-fil-A,United States,,,
#272,Laurent Dassault,6,66,diversified,France,,,
#272,Olivier Dassault,6,68,diversified,France,,,
#272,Thierry Dassault,6,62,diversified,France,,,
#272,Marie-Hélène Habert,6,54,diversified,France,,,
#272,Bertil Hult,6,78,education,Sweden,,,
#272,Richard LeFrak,6,73,real estate,United States,,,
#272,Richard Liu,6,45,e-commerce,China,,,
#272,Marijke Mars,6,54,"candy, pet food",United States,,,
#272,Pamela Mars,6,58,"candy, pet food",United States,,,
#272,Valerie Mars,6,60,"candy, pet food",United States,,,
#272,Victoria Mars,6,62,"candy, pet food",United States,,,
#272,Jim Pattison,6,90,diversified,Canada,,,
#272,Steven Rales,6,68,manufacturing,United States,,,
#272,Reinhold Schmieding,6,64,medical devices,United States,,,
#272,Tsai Eng-Meng,6,62,"food, beverages",Taiwan,,,
#290,Dannine Avara,5.9,55,pipelines,United States,,,
#290,Scott Duncan,5.9,36,pipelines,United States,,,
#290,Milane Frantz,5.9,49,pipelines,United States,,,
#290,Savitri Jindal,5.9,69,steel,India,,,
#290,Aiyawatt Srivaddhanaprabha,5.9,34,duty-free,Thailand,,,
#290,Dennis Washington,5.9,84,"construction, mining",United States,,,
#290,Randa Williams,5.9,57,pipelines,United States,,,
#290,Hansjoerg Wyss,5.9,84,medical devices,Switzerland,,,
#298,Chan Laiwa,5.8,78,real estate,China,,,
#298,David Cheriton,5.8,68,Google,Canada,,,
#298,Travis Kalanick,5.8,42,Uber,United States,,,
#298,Ronda Stryker,5.8,65,medical equipment,United States,,,
#298,Xu Hang,5.8,53,medical devices,China,,,
#303,James Dyson,5.7,72,vacuums,United Kingdom,,,
#303,Nancy Walton Laurie,5.7,68,Walmart,United States,,,
#303,Liu Yonghao,5.7,67,agribusiness,China,,,
#303,Margarita Louis-Dreyfus,5.7,57,Commodities,Switzerland,,,
#303,John Morris,5.7,71,sporting goods retail,United States,,,
#303,Carrie Perrodo,5.7,68,oil,France,,,
#303,Stef Wertheimer,5.7,93,metalworking tools,Israel,,,
#303,Zhang Bangxin,5.7,39,after-school tutoring,China,,,
#311,Maria Asuncion Aramburuzabala,5.6,56,"beer, investments",Mexico,,,
#311,Cai Kui,5.6,56,real estate,China,,,
#311,Jim Davis,5.6,76,New Balance,United States,,,
#311,Kwee brothers,5.6,-,Real Estate,Singapore,,,
#311,Whitney MacMillan,5.6,89,Cargill,United States,,,
#311,Stewart and Lynda Resnick,5.6,-,"agriculture, water",United States,,,
#317,Charles Dolan,5.5,92,cable television,United States,,,
#317,Laurence Graff,5.5,81,diamond jewelry,United Kingdom,,,
#317,Henry Kravis,5.5,75,private equity,United States,,,
#317,Li Xiting,5.5,68,medical devices,China,,,
#317,George Roberts,5.5,75,private equity,United States,,,
#317,Johann Rupert,5.5,69,luxury goods,South Africa,,,
#317,Manuel Villar,5.5,69,real estate,Philippines,,,
#317,Sam Zell,5.5,77,"real estate, private equity",United States,,,
#325,Antonia Ax:son Johnson,5.4,75,diversified,Sweden,,,
#325,Pierre Bellon,5.4,89,food services,France,,,
#325,Andrew Forrest,5.4,57,mining,Australia,,,
#325,Law Kar Po,5.4,70,real estate,Hong Kong,,,
#325,Lee Shin Cheng,5.4,80,"palm oil, property",Malaysia,,,
#325,Niels Peter Louis-Hansen,5.4,71,medical devices,Denmark,,,
#325,George Lucas,5.4,75,Star Wars,United States,,,
#325,"Edward Roski, Jr.",5.4,80,real estate,United States,,,
#325,Frank Wang,5.4,38,drones,China,,,
#334,Robert Rowling,5.3,65,"hotels, investments",United States,,,
#334,Aloys Wobben,5.3,67,wind turbines,Germany,,,
#334,Yan Zhi,5.3,47,real estate,China,,,
#337,Pyotr Aven,5.2,64,"oil, banking, telecom",Russia,,,
#337,Benu Gopal Bangur,5.2,88,cement,India,,,
#337,Bruce Kovner,5.2,74,hedge funds,United States,,,
#337,Bernard Marcus,5.2,90,Home Depot,United States,,,
#337,Andrei Skoch,5.2,53,steel,Russia,,,
#337,Sheldon Solow,5.2,90,real estate,United States,,,
#343,Majid Al Futtaim,5.1,-,"real estate, retail",United Arab Emirates,,,
#343,Vincent Bolloré,5.1,67,investments,France,,,
#343,Jack Dorsey,5.1,42,"Twitter, Square",United States,,,
#343,Guenther Fielmann,5.1,79,optometry,Germany,,,
#343,Ivan Glasenberg,5.1,62,mining,Switzerland,,,
#343,"John Gokongwei, Jr.",5.1,92,diversified,Philippines,,,
#343,"Paul Tudor Jones, II.",5.1,64,hedge funds,United States,,,
#343,Liu Yongxing,5.1,71,diversified,China,,,
#343,Wolfgang Marguerre,5.1,78,pharmaceuticals,Germany,,,
#343,Gabriella Meister,5.1,71,appliances,Germany,,,
#343,Emanuele (Lino) Saputo,5.1,82,cheese,Canada,,,
#343,Tang Shing-bor,5.1,85,real estate,Hong Kong,,,
#355,Shari Arison,5,61,Carnival Cruises,Israel,,,
#355,Jean-Michel Besnier,5,52,cheese,France,,,
#355,Marie Besnier Beauvalot,5,38,cheese,France,,,
#355,Chen Lip Keong,5,72,"casinos, property, energy",Malaysia,,,
#355,Martha Ingram,5,83,"book distribution, transportation",United States,,,
#355,Charles Johnson,5,86,money management,United States,,,
#355,Joe Lewis,5,82,investments,United Kingdom,,,
#355,Alain Merieux,5,81,pharmaceuticals,France,,,
#355,John Paulson,5,63,hedge funds,United States,,,
#355,Robert F. Smith,5,56,private equity,United States,,,
#365,Acharya Balkrishna,4.9,46,consumer goods,India,,,
#365,Robert Bass,4.9,71,"oil, investments",United States,,,
#365,Rene Benko,4.9,42,"real estate, retail",Austria,,,
#365,Bernard Broermann,4.9,75,hospitals,Germany,,,
#365,Clive Calder,4.9,72,record label,United Kingdom,,,
#365,Bidzina Ivanishvili,4.9,63,investments,Georgia,,,
#365,Jiang Rensheng,4.9,65,vaccines,China,,,
#365,Nathan Kirsh,4.9,87,"retail, real estate",Swaziland,,,
#365,Ted Lerner,4.9,93,real estate,United States,,,
#365,Li Shuirong,4.9,63,petrochemicals,China,,,
#365,Pan Sutong,4.9,56,"real estate, finance",Hong Kong,,,
#365,J. Christopher Reyes,4.9,65,food distribution,United States,,,
#365,Jude Reyes,4.9,63,food distribution,United States,,,
#365,Takahisa Takahara,4.9,58,personal care goods,Japan,,,
#379,Maria Fernanda Amorim,4.8,84,"energy, investments",Portugal,,,
#379,Bajaj brothers,4.8,-,diversified,India,,,
#379,David Filo,4.8,53,Yahoo,United States,,,
#379,Michel Leclercq,4.8,80,sporting goods,France,,,
#379,Ludwig Merckle,4.8,54,pharmaceuticals,Germany,,,
#379,Hiroshi Mikitani,4.8,54,online retail,Japan,,,
#379,Robert Miller,4.8,86,retail,United Kingdom,,,
#379,Karen Pritzker,4.8,61,"hotels, investments",United States,,,
#379,"Enrique Razon, Jr.",4.8,59,ports,Philippines,,,
#379,"Robert Rich, Jr.",4.8,78,frozen foods,United States,,,
#379,Leonard Stern,4.8,81,real estate,United States,,,
#379,Wang Xing,4.8,46,e-commerce,China,,,
#379,Daniel Ziff,4.8,47,investments,United States,,,
#379,Dirk Ziff,4.8,55,investments,United States,,,
#379,Robert Ziff,4.8,52,investments,United States,,,
#394,Dona Bertarelli,4.7,51,biotech,Switzerland,,,
#394,Arthur Blank,4.7,76,Home Depot,United States,,,
#394,Tilman Fertitta,4.7,62,"Houston Rockets, entertainment",United States,,,
#394,Ray Lee Hunt,4.7,76,"oil, real estate",United States,,,
#394,Kjeld Kirk Kristiansen,4.7,71,Lego,Denmark,,,
#394,Sofie Kirk Kristiansen,4.7,43,Lego,Denmark,,,
#394,Thomas Kirk Kristiansen,4.7,40,Lego,Denmark,,,
#394,Akira Mori,4.7,83,real estate,Japan,,,
#394,Idan Ofer,4.7,63,"drilling, shipping",Israel,,,
#394,Karsanbhai Patel,4.7,75,consumer goods,India,,,
#394,Alexandra Schoerghuber,4.7,60,real estate,Germany,,,
#394,Yasumitsu Shigeta,4.7,54,mobile phone retailer,Japan,,,
#394,Kushal Pal Singh,4.7,87,real estate,India,,,
#394,Jeff Skoll,4.7,54,eBay,United States,,,
#394,David Sun,4.7,67,computer hardware,United States,,,
#394,Agnete Kirk Thinggaard,4.7,36,Lego,Denmark,,,
#394,John Tu,4.7,77,computer hardware,United States,,,
#394,Xu Jingren,4.7,74,pharmaceuticals,China,,,
#394,M.A. Yusuff Ali,4.7,63,retail,India,,,
#413,Abdulla bin Ahmad Al Ghurair,4.6,-,diversified,United Arab Emirates,,,
#413,David & Frederick Barclay,4.6,85,"media, retail",United Kingdom,,,
#413,Garrett Camp,4.6,40,Uber,Canada,,,
#413,Stanley Druckenmiller,4.6,66,hedge funds,United States,,,
#413,Tamara Gustavson,4.6,57,self storage,United States,,,
#413,Pansy Ho,4.6,56,casinos,Hong Kong,,,
#413,Richard Li,4.6,52,telecom,Hong Kong,,,
#413,Sumner Redstone,4.6,96,media,United States,,,
#413,Martin Viessmann,4.6,65,heating equipment,Germany,,,
#413,Les Wexner,4.6,81,retail,United States,,,
#413,Zhang Jin,4.6,47,diversified,China,,,
#424,Rocco Commisso,4.5,69,telecom,United States,,,
#424,Michael Herz,4.5,75,coffee,Germany,,,
#424,Wolfgang Herz,4.5,68,coffee,Germany,,,
#424,Sumet Jiaravanon,4.5,84,diversified,Thailand,,,
#424,Vladimir Kim,4.5,58,mining,Kazakhstan,,,
#424,Lars Larsen,4.5,70,retail,Denmark,,,
#424,Terrence Pegula,4.5,68,natural gas,United States,,,
#424,Sergei Popov,4.5,47,banking,Russia,,,
#424,Mark Scheinberg,4.5,45,online gambling,Canada,,,
#424,"Walter Scott, Jr.",4.5,88,"utilities, telecom",United States,,,
#424,Tahir,4.5,67,diversified,Indonesia,,,
#424,Zhang Shiping,4.5,72,aluminum products,China,,,
#436,Rahul Bajaj,4.4,81,motorcycles,India,,,
#436,Che Jianxing,4.4,53,furniture retailing,China,,,
#436,Chen Bang,4.4,53,hospitals,China,,,
#436,Jaran Chiaravanont,4.4,89,diversified,Thailand,,,
#436,Kuldip Singh & Gurbachan Singh Dhingra,4.4,-,paints,India,,,
#436,Montri Jiaravanont,4.4,88,diversified,Thailand,,,
#436,Andrei Kozitsyn,4.4,59,metals,Russia,,,
#436,Patrick Lee,4.4,77,paper,Hong Kong,,,
#436,Lim Kok Thay,4.4,67,casinos,Malaysia,,,
#436,Ajay Piramal,4.4,63,pharmaceuticals,India,,,
#436,Sarath Ratanavadi,4.4,54,energy,Thailand,,,
#436,John Sall,4.4,71,software,United States,,,
#436,Thomas Schmidheiny,4.4,73,cement,Switzerland,,,
#436,Andreas Struengmann,4.4,69,pharmaceuticals,Germany,,,
